"subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func"
"82168528-34cf-4478-b801-315e53cd3404","count","lclf","blicket","img/stim_lclf_b.png","right","con",1
"82168528-34cf-4478-b801-315e53cd3404","count","lchf","toma","img/stim_lchf_a.png","left","ind",0
"82168528-34cf-4478-b801-315e53cd3404","count","hclf","garn","img/stim_hclf_a.png","right","ind",0
"82168528-34cf-4478-b801-315e53cd3404","count","hchf","zorp","img/stim_hchf_b.png","left","ind",0
"82168528-34cf-4478-b801-315e53cd3404","count","mcmf","sarel","img/stim_mcmf_b.png","left","con",1
"3c3ea64d-e2e0-45a6-b20f-02fa7de496f4","count","lclf","zorp","img/stim_lclf_a.png","right","ind",0
"3c3ea64d-e2e0-45a6-b20f-02fa7de496f4","count","hclf","sarel","img/stim_hclf_b.png","left","con",1
"3c3ea64d-e2e0-45a6-b20f-02fa7de496f4","count","lchf","toma","img/stim_lchf_a.png","right","con",1
"3c3ea64d-e2e0-45a6-b20f-02fa7de496f4","count","mcmf","garn","img/stim_mcmf_b.png","left","ind",0
"3c3ea64d-e2e0-45a6-b20f-02fa7de496f4","count","hchf","blicket","img/stim_hchf_a.png","right","ind",0
"b9c3f061-721b-469d-9e8a-0238a7e32842","count","hclf","blicket","img/stim_hclf_b.png","left","con",1
"b9c3f061-721b-469d-9e8a-0238a7e32842","count","mcmf","zorp","img/stim_mcmf_b.png","right","con",1
"b9c3f061-721b-469d-9e8a-0238a7e32842","count","hchf","garn","img/stim_hchf_a.png","right","con",1
"b9c3f061-721b-469d-9e8a-0238a7e32842","count","lclf","toma","img/stim_lclf_a.png","left","ind",0
"b9c3f061-721b-469d-9e8a-0238a7e32842","count","lchf","sarel","img/stim_lchf_b.png","left","con",1
"8afecd0e-a947-468c-85e7-bd2384f6de94","count","hclf","zorp","img/stim_hclf_a.png","right","ind",0
"8afecd0e-a947-468c-85e7-bd2384f6de94","count","lchf","sarel","img/stim_lchf_b.png","right","ind",0
"8afecd0e-a947-468c-85e7-bd2384f6de94","count","lclf","garn","img/stim_lclf_a.png","left","con",1
"8afecd0e-a947-468c-85e7-bd2384f6de94","count","hchf","toma","img/stim_hchf_a.png","right","con",1
"8afecd0e-a947-468c-85e7-bd2384f6de94","count","mcmf","blicket","img/stim_mcmf_b.png","left","con",1
"538a3bb6-8631-4f41-b5a5-9e50dbc6da13","count","lchf","garn","img/stim_lchf_b.png","right","con",1
"538a3bb6-8631-4f41-b5a5-9e50dbc6da13","count","hchf","toma","img/stim_hchf_a.png","left","con",1
"538a3bb6-8631-4f41-b5a5-9e50dbc6da13","count","lclf","sarel","img/stim_lclf_b.png","left","ind",0
"538a3bb6-8631-4f41-b5a5-9e50dbc6da13","count","mcmf","blicket","img/stim_mcmf_b.png","right","ind",0
"538a3bb6-8631-4f41-b5a5-9e50dbc6da13","count","hclf","zorp","img/stim_hclf_b.png","right","ind",0
"4c70ba81-ca67-4f46-a6f3-186ae12d59fa","count","hclf","zorp","img/stim_hclf_a.png","left","ind",0
"4c70ba81-ca67-4f46-a6f3-186ae12d59fa","count","lclf","toma","img/stim_lclf_b.png","left","con",1
"4c70ba81-ca67-4f46-a6f3-186ae12d59fa","count","mcmf","blicket","img/stim_mcmf_b.png","right","ind",0
"4c70ba81-ca67-4f46-a6f3-186ae12d59fa","count","hchf","garn","img/stim_hchf_b.png","left","con",1
"4c70ba81-ca67-4f46-a6f3-186ae12d59fa","count","lchf","sarel","img/stim_lchf_b.png","right","ind",0
"118375e2-45c1-48f3-804c-67125cfee616","count","mcmf","garn","img/stim_mcmf_b.png","left","ind",0
"118375e2-45c1-48f3-804c-67125cfee616","count","lclf","zorp","img/stim_lclf_b.png","right","ind",0
"118375e2-45c1-48f3-804c-67125cfee616","count","lchf","sarel","img/stim_lchf_a.png","left","con",1
"118375e2-45c1-48f3-804c-67125cfee616","count","hclf","toma","img/stim_hclf_a.png","right","con",1
"118375e2-45c1-48f3-804c-67125cfee616","count","hchf","blicket","img/stim_hchf_b.png","right","ind",0
"d6947cba-11a2-4b4e-8a22-aaeb94e24756","count","hchf","sarel","img/stim_hchf_b.png","left","ind",0
"d6947cba-11a2-4b4e-8a22-aaeb94e24756","count","hclf","garn","img/stim_hclf_a.png","left","con",1
"d6947cba-11a2-4b4e-8a22-aaeb94e24756","count","lclf","zorp","img/stim_lclf_b.png","left","con",1
"d6947cba-11a2-4b4e-8a22-aaeb94e24756","count","lchf","toma","img/stim_lchf_b.png","right","ind",0
"d6947cba-11a2-4b4e-8a22-aaeb94e24756","count","mcmf","blicket","img/stim_mcmf_a.png","right","con",1
"76fcc9d5-8035-4a2b-a320-c1f4cb99863c","count","lclf","zorp","img/stim_lclf_a.png","right","ind",0
"76fcc9d5-8035-4a2b-a320-c1f4cb99863c","count","mcmf","garn","img/stim_mcmf_b.png","left","ind",0
"76fcc9d5-8035-4a2b-a320-c1f4cb99863c","count","lchf","toma","img/stim_lchf_b.png","right","ind",0
"76fcc9d5-8035-4a2b-a320-c1f4cb99863c","count","hclf","sarel","img/stim_hclf_b.png","right","ind",0
"76fcc9d5-8035-4a2b-a320-c1f4cb99863c","count","hchf","blicket","img/stim_hchf_b.png","right","ind",0
"fd0ce707-e211-4903-9212-205e3a02e568","count","lclf","zorp","img/stim_lclf_b.png","right","ind",0
"fd0ce707-e211-4903-9212-205e3a02e568","count","hclf","toma","img/stim_hclf_a.png","right","ind",0
"fd0ce707-e211-4903-9212-205e3a02e568","count","hchf","sarel","img/stim_hchf_a.png","right","ind",0
"fd0ce707-e211-4903-9212-205e3a02e568","count","lchf","blicket","img/stim_lchf_b.png","right","ind",0
"fd0ce707-e211-4903-9212-205e3a02e568","count","mcmf","garn","img/stim_mcmf_b.png","left","con",1
"3b48d07b-bd9c-4adb-8291-f0dad3f35ab4","count","hchf","blicket","img/stim_hchf_b.png","left","ind",0
"3b48d07b-bd9c-4adb-8291-f0dad3f35ab4","count","hclf","toma","img/stim_hclf_a.png","right","ind",0
"3b48d07b-bd9c-4adb-8291-f0dad3f35ab4","count","lclf","garn","img/stim_lclf_b.png","right","ind",0
"3b48d07b-bd9c-4adb-8291-f0dad3f35ab4","count","lchf","sarel","img/stim_lchf_b.png","left","ind",0
"3b48d07b-bd9c-4adb-8291-f0dad3f35ab4","count","mcmf","zorp","img/stim_mcmf_b.png","right","con",1
"819b2f44-f088-4121-b042-d01eb75a1ee6","count","lchf","zorp","img/stim_lchf_a.png","right","ind",0
"819b2f44-f088-4121-b042-d01eb75a1ee6","count","hclf","toma","img/stim_hclf_b.png","left","con",1
"819b2f44-f088-4121-b042-d01eb75a1ee6","count","hchf","garn","img/stim_hchf_a.png","left","con",1
"819b2f44-f088-4121-b042-d01eb75a1ee6","count","lclf","blicket","img/stim_lclf_b.png","right","ind",0
"819b2f44-f088-4121-b042-d01eb75a1ee6","count","mcmf","sarel","img/stim_mcmf_b.png","right","ind",0
"dbd1a45e-8c6f-4b97-b950-f060e70c037d","count","hclf","sarel","img/stim_hclf_b.png","left","ind",0
"dbd1a45e-8c6f-4b97-b950-f060e70c037d","count","lchf","garn","img/stim_lchf_b.png","left","ind",0
"dbd1a45e-8c6f-4b97-b950-f060e70c037d","count","mcmf","toma","img/stim_mcmf_a.png","right","ind",0
"dbd1a45e-8c6f-4b97-b950-f060e70c037d","count","lclf","zorp","img/stim_lclf_b.png","left","con",1
"dbd1a45e-8c6f-4b97-b950-f060e70c037d","count","hchf","blicket","img/stim_hchf_b.png","right","ind",0
"e960f2a3-8569-4dfe-84ce-9e911dbedf73","count","hclf","blicket","img/stim_hclf_b.png","left","ind",0
"e960f2a3-8569-4dfe-84ce-9e911dbedf73","count","mcmf","garn","img/stim_mcmf_a.png","right","con",1
"e960f2a3-8569-4dfe-84ce-9e911dbedf73","count","lchf","toma","img/stim_lchf_a.png","left","ind",0
"e960f2a3-8569-4dfe-84ce-9e911dbedf73","count","hchf","zorp","img/stim_hchf_b.png","right","con",1
"e960f2a3-8569-4dfe-84ce-9e911dbedf73","count","lclf","sarel","img/stim_lclf_b.png","left","ind",0
"88b6d983-e984-440b-a8bd-560633497e8f","count","hclf","sarel","img/stim_hclf_b.png","right","con",1
"88b6d983-e984-440b-a8bd-560633497e8f","count","lclf","garn","img/stim_lclf_a.png","left","ind",0
"88b6d983-e984-440b-a8bd-560633497e8f","count","lchf","toma","img/stim_lchf_a.png","left","con",1
"88b6d983-e984-440b-a8bd-560633497e8f","count","hchf","blicket","img/stim_hchf_b.png","right","ind",0
"88b6d983-e984-440b-a8bd-560633497e8f","count","mcmf","zorp","img/stim_mcmf_b.png","left","con",1
"3d116be1-943e-455b-838e-40b0d05915be","count","lclf","sarel","img/stim_lclf_b.png","right","con",1
"3d116be1-943e-455b-838e-40b0d05915be","count","mcmf","garn","img/stim_mcmf_a.png","left","con",1
"3d116be1-943e-455b-838e-40b0d05915be","count","hchf","blicket","img/stim_hchf_b.png","right","ind",0
"3d116be1-943e-455b-838e-40b0d05915be","count","lchf","zorp","img/stim_lchf_a.png","right","con",1
"3d116be1-943e-455b-838e-40b0d05915be","count","hclf","toma","img/stim_hclf_a.png","left","con",1
"bc15e5e5-7f86-4a6d-a982-ffa415b77319","count","lclf","zorp","img/stim_lclf_b.png","right","ind",0
"bc15e5e5-7f86-4a6d-a982-ffa415b77319","count","lchf","sarel","img/stim_lchf_a.png","right","ind",0
"bc15e5e5-7f86-4a6d-a982-ffa415b77319","count","mcmf","toma","img/stim_mcmf_a.png","left","con",1
"bc15e5e5-7f86-4a6d-a982-ffa415b77319","count","hchf","garn","img/stim_hchf_a.png","right","ind",0
"bc15e5e5-7f86-4a6d-a982-ffa415b77319","count","hclf","blicket","img/stim_hclf_b.png","right","con",1
"079aa5c3-84e0-46f3-a245-7e7f349356c3","count","lchf","garn","img/stim_lchf_b.png","left","ind",0
"079aa5c3-84e0-46f3-a245-7e7f349356c3","count","mcmf","toma","img/stim_mcmf_a.png","left","con",1
"079aa5c3-84e0-46f3-a245-7e7f349356c3","count","lclf","zorp","img/stim_lclf_b.png","left","ind",0
"079aa5c3-84e0-46f3-a245-7e7f349356c3","count","hchf","sarel","img/stim_hchf_a.png","right","ind",0
"079aa5c3-84e0-46f3-a245-7e7f349356c3","count","hclf","blicket","img/stim_hclf_b.png","left","ind",0
"821699e9-d448-45fb-a9d6-7e4d8ced8bbf","count","mcmf","blicket","img/stim_mcmf_a.png","right","ind",0
"821699e9-d448-45fb-a9d6-7e4d8ced8bbf","count","hclf","sarel","img/stim_hclf_b.png","left","con",1
"821699e9-d448-45fb-a9d6-7e4d8ced8bbf","count","lchf","garn","img/stim_lchf_a.png","left","con",1
"821699e9-d448-45fb-a9d6-7e4d8ced8bbf","count","hchf","toma","img/stim_hchf_b.png","right","con",1
"821699e9-d448-45fb-a9d6-7e4d8ced8bbf","count","lclf","zorp","img/stim_lclf_b.png","right","con",1
"25620789-b134-4d90-9dbb-8d236028b0d0","count","hchf","sarel","img/stim_hchf_b.png","right","ind",0
"25620789-b134-4d90-9dbb-8d236028b0d0","count","lchf","toma","img/stim_lchf_a.png","right","con",1
"25620789-b134-4d90-9dbb-8d236028b0d0","count","hclf","blicket","img/stim_hclf_b.png","left","con",1
"25620789-b134-4d90-9dbb-8d236028b0d0","count","lclf","garn","img/stim_lclf_a.png","right","ind",0
"25620789-b134-4d90-9dbb-8d236028b0d0","count","mcmf","zorp","img/stim_mcmf_b.png","right","ind",0
"c6431202-28a6-4d2c-9d6f-665f5c8211d5","count","lchf","toma","img/stim_lchf_a.png","right","ind",0
"c6431202-28a6-4d2c-9d6f-665f5c8211d5","count","lclf","sarel","img/stim_lclf_a.png","right","con",1
"c6431202-28a6-4d2c-9d6f-665f5c8211d5","count","hclf","blicket","img/stim_hclf_a.png","left","con",1
"c6431202-28a6-4d2c-9d6f-665f5c8211d5","count","mcmf","garn","img/stim_mcmf_b.png","left","ind",0
"c6431202-28a6-4d2c-9d6f-665f5c8211d5","count","hchf","zorp","img/stim_hchf_b.png","right","ind",0
"55df1548-e3dd-48d0-ae18-51d8b01e2371","count","mcmf","blicket","img/stim_mcmf_a.png","left","ind",0
"55df1548-e3dd-48d0-ae18-51d8b01e2371","count","hchf","garn","img/stim_hchf_b.png","right","con",1
"55df1548-e3dd-48d0-ae18-51d8b01e2371","count","hclf","zorp","img/stim_hclf_b.png","right","ind",0
"55df1548-e3dd-48d0-ae18-51d8b01e2371","count","lchf","sarel","img/stim_lchf_b.png","left","con",1
"55df1548-e3dd-48d0-ae18-51d8b01e2371","count","lclf","toma","img/stim_lclf_b.png","right","ind",0
"20ea8da8-69d1-4297-bee5-7e8fe02f6762","count","lclf","toma","img/stim_lclf_b.png","left","con",1
"20ea8da8-69d1-4297-bee5-7e8fe02f6762","count","mcmf","sarel","img/stim_mcmf_b.png","left","con",1
"20ea8da8-69d1-4297-bee5-7e8fe02f6762","count","hclf","zorp","img/stim_hclf_a.png","left","ind",0
"20ea8da8-69d1-4297-bee5-7e8fe02f6762","count","lchf","blicket","img/stim_lchf_a.png","right","con",1
"20ea8da8-69d1-4297-bee5-7e8fe02f6762","count","hchf","garn","img/stim_hchf_a.png","right","ind",0
"4f7104e7-7142-49e0-8917-37eb193086fa","count","mcmf","zorp","img/stim_mcmf_b.png","right","ind",0
"4f7104e7-7142-49e0-8917-37eb193086fa","count","lclf","toma","img/stim_lclf_a.png","right","ind",0
"4f7104e7-7142-49e0-8917-37eb193086fa","count","hchf","garn","img/stim_hchf_a.png","left","con",1
"4f7104e7-7142-49e0-8917-37eb193086fa","count","hclf","sarel","img/stim_hclf_b.png","right","ind",0
"4f7104e7-7142-49e0-8917-37eb193086fa","count","lchf","blicket","img/stim_lchf_b.png","left","con",1
"7fb8eaad-fed6-4228-9e4b-bc163398e6d6","count","lchf","blicket","img/stim_lchf_b.png","right","con",1
"7fb8eaad-fed6-4228-9e4b-bc163398e6d6","count","mcmf","sarel","img/stim_mcmf_b.png","left","ind",0
"7fb8eaad-fed6-4228-9e4b-bc163398e6d6","count","lclf","garn","img/stim_lclf_b.png","right","con",1
"7fb8eaad-fed6-4228-9e4b-bc163398e6d6","count","hclf","toma","img/stim_hclf_b.png","left","con",1
"7fb8eaad-fed6-4228-9e4b-bc163398e6d6","count","hchf","zorp","img/stim_hchf_a.png","right","con",1
"3bc07ab1-e63b-41fa-a900-5702fb07805e","count","lclf","blicket","img/stim_lclf_a.png","left","ind",0
"3bc07ab1-e63b-41fa-a900-5702fb07805e","count","hchf","zorp","img/stim_hchf_b.png","right","con",1
"3bc07ab1-e63b-41fa-a900-5702fb07805e","count","hclf","garn","img/stim_hclf_b.png","right","ind",0
"3bc07ab1-e63b-41fa-a900-5702fb07805e","count","lchf","sarel","img/stim_lchf_b.png","left","con",1
"3bc07ab1-e63b-41fa-a900-5702fb07805e","count","mcmf","toma","img/stim_mcmf_b.png","left","con",1
"29277176-2bbb-4f0f-aef8-dd97fc073e7f","count","mcmf","zorp","img/stim_mcmf_a.png","right","ind",0
"29277176-2bbb-4f0f-aef8-dd97fc073e7f","count","lchf","sarel","img/stim_lchf_b.png","left","ind",0
"29277176-2bbb-4f0f-aef8-dd97fc073e7f","count","hclf","toma","img/stim_hclf_a.png","right","con",1
"29277176-2bbb-4f0f-aef8-dd97fc073e7f","count","hchf","garn","img/stim_hchf_b.png","right","ind",0
"29277176-2bbb-4f0f-aef8-dd97fc073e7f","count","lclf","blicket","img/stim_lclf_b.png","left","con",1
"69b87669-99a2-4bec-aef7-c9975dabc958","count","hclf","garn","img/stim_hclf_b.png","left","con",1
"69b87669-99a2-4bec-aef7-c9975dabc958","count","lclf","zorp","img/stim_lclf_a.png","right","ind",0
"69b87669-99a2-4bec-aef7-c9975dabc958","count","mcmf","sarel","img/stim_mcmf_b.png","right","con",1
"69b87669-99a2-4bec-aef7-c9975dabc958","count","hchf","toma","img/stim_hchf_b.png","left","ind",0
"69b87669-99a2-4bec-aef7-c9975dabc958","count","lchf","blicket","img/stim_lchf_a.png","right","con",1
"3bde04b3-c099-4522-97b4-3f63770b54f2","count","mcmf","garn","img/stim_mcmf_a.png","right","ind",0
"3bde04b3-c099-4522-97b4-3f63770b54f2","count","lclf","sarel","img/stim_lclf_a.png","right","con",1
"3bde04b3-c099-4522-97b4-3f63770b54f2","count","lchf","toma","img/stim_lchf_a.png","right","con",1
"3bde04b3-c099-4522-97b4-3f63770b54f2","count","hclf","zorp","img/stim_hclf_b.png","right","ind",0
"3bde04b3-c099-4522-97b4-3f63770b54f2","count","hchf","blicket","img/stim_hchf_b.png","right","con",1
"b3d972f0-c11c-48e5-9e7b-dd00303b5dcc","count","lchf","sarel","img/stim_lchf_b.png","right","con",1
"b3d972f0-c11c-48e5-9e7b-dd00303b5dcc","count","lclf","blicket","img/stim_lclf_b.png","left","ind",0
"b3d972f0-c11c-48e5-9e7b-dd00303b5dcc","count","mcmf","garn","img/stim_mcmf_a.png","left","con",1
"b3d972f0-c11c-48e5-9e7b-dd00303b5dcc","count","hclf","zorp","img/stim_hclf_b.png","right","ind",0
"b3d972f0-c11c-48e5-9e7b-dd00303b5dcc","count","hchf","toma","img/stim_hchf_a.png","right","con",1
"f27fea86-b828-43f9-8122-a80c9e430f42","count","hclf","sarel","img/stim_hclf_b.png","left","con",1
"f27fea86-b828-43f9-8122-a80c9e430f42","count","lchf","garn","img/stim_lchf_a.png","left","ind",0
"f27fea86-b828-43f9-8122-a80c9e430f42","count","mcmf","toma","img/stim_mcmf_b.png","left","ind",0
"f27fea86-b828-43f9-8122-a80c9e430f42","count","lclf","zorp","img/stim_lclf_a.png","right","con",1
"f27fea86-b828-43f9-8122-a80c9e430f42","count","hchf","blicket","img/stim_hchf_b.png","right","con",1
"eff1181d-135a-48b6-9469-95101ef07ce9","count","lchf","toma","img/stim_lchf_b.png","right","ind",0
"eff1181d-135a-48b6-9469-95101ef07ce9","count","mcmf","blicket","img/stim_mcmf_a.png","left","con",1
"eff1181d-135a-48b6-9469-95101ef07ce9","count","lclf","zorp","img/stim_lclf_a.png","right","ind",0
"eff1181d-135a-48b6-9469-95101ef07ce9","count","hclf","sarel","img/stim_hclf_b.png","left","con",1
"eff1181d-135a-48b6-9469-95101ef07ce9","count","hchf","garn","img/stim_hchf_b.png","left","con",1
"66bc85b2-e9e4-4c38-bd58-9b433deb40c3","count","lchf","toma","img/stim_lchf_b.png","right","ind",0
"66bc85b2-e9e4-4c38-bd58-9b433deb40c3","count","lclf","sarel","img/stim_lclf_a.png","right","ind",0
"66bc85b2-e9e4-4c38-bd58-9b433deb40c3","count","hclf","zorp","img/stim_hclf_a.png","left","ind",0
"66bc85b2-e9e4-4c38-bd58-9b433deb40c3","count","mcmf","garn","img/stim_mcmf_b.png","right","ind",0
